"Provider"	"EventID"	"#"	"ValueHEX"	"ValueDEC"	"Name"	"Displayname"
"AESMService"	"0"	"0"	"0x0000000000000000"			
"Microsoft-Windows-WiFiNetworkManager"	"1609"	"1"	"0x0000000000000001"	"1, "	"S, "	
"Microsoft-Windows-Wallet"	"315"	"1"	"0x0000000000000002"	"2, "	"P, "	
"Microsoft-Windows-Kernel-Processor-Power"	"75"	"2"	"0x0000000000000003"	"2, 1, "	"Diag, Perf, "	", , "
"Microsoft-WindowsPhone-ConfigManager2"	"30"	"1"	"0x0000000000000004"	"4, "	"T, "	"T, "
"Microsoft-WindowsPhone-ConfigManager2"	"187"	"2"	"0x0000000000000005"	"4, 1, "	"Trace, Error, "	"Trace, Error, "
"Microsoft-WindowsPhone-ConfigManager2"	"56"	"2"	"0x0000000000000006"	"4, 2, "	"Trace, Performance, "	"Trace, Performance, "
"Microsoft-WindowsPhone-ConfigManager2"	"140"	"3"	"0x0000000000000007"	"4, 2, 1, "	"Trace, Performance, Error, "	"Trace, Performance, Error, "
"Microsoft-Windows-BrokerInfrastructure"	"24"	"1"	"0x0000000000000008"	"8, "	"P, "	
"Microsoft-Windows-Kernel-Boot"	"126"	"2"	"0x0000000000000009"	"8, 1, "	"PhysicalMemory, SoftRestart, "	", , "
"Microsoft-Windows-Kernel-Processor-Power"	"50"	"2"	"0x000000000000000a"	"8, 2, "	"Lpi, Diag, "	", , "
"Microsoft-Windows-ESE"	"114"	"1"	"0x0000000000000010"	"16, "	"S, "	"S, "
"Microsoft-Windows-Kernel-Processor-Power"	"70"	"2"	"0x0000000000000012"	"16, 2, "	"SleepStudy, Diag, "	", , "
"Microsoft-Windows-Kernel-PnP"	"209"	"1"	"0x0000000000000020"	"32, "	"P, "	
"Microsoft-Windows-ESE"	"143"	"2"	"0x0000000000000022"	"32, 2, "	"BF, Performance, "	"BF, Performance, "
"Microsoft-Windows-Kernel-EventTracing"	"19"	"1"	"0x0000000000000040"	"64, "	"E, "	"L, "
"Microsoft-Windows-Kernel-Processor-Power"	"109"	"2"	"0x0000000000000060"	"64, 32, "	"Profiles, Algorithm, "	", , "
"Microsoft-Windows-Kernel-Processor-Power"	"106"	"3"	"0x0000000000000064"	"64, 32, 4, "	"Profiles, Algorithm, PowerDiagnostics, "	", , , "
"Microsoft-Windows-Kernel-Processor-Power"	"111"	"1"	"0x0000000000000080"	"128, "	"P, "	
"Microsoft-Windows-Kernel-Processor-Power"	"64"	"2"	"0x0000000000000082"	"128, 2, "	"PerfDiag, Diag, "	", , "
"Microsoft-Windows-Kernel-Processor-Power"	"68"	"3"	"0x0000000000000083"	"128, 2, 1, "	"PerfDiag, Diag, Perf, "	", , , "
"Microsoft-Windows-Kernel-Processor-Power"	"113"	"1"	"0x0000000000000100"	"256, "	"E, "	
"Microsoft-Windows-Kernel-EventTracing"	"20"	"2"	"0x0000000000000110"	"256, 16, "	"ETW_KEYWORD_CAPTURE_STATE, ETW_KEYWORD_SESSION, "	", Session, "
"Microsoft-Windows-Kernel-EventTracing"	"24"	"2"	"0x0000000000000120"	"256, 32, "	"ETW_KEYWORD_CAPTURE_STATE, ETW_KEYWORD_PROVIDER, "	", Provider, "
"Microsoft-Windows-Application-Experience"	"910"	"1"	"0x0000000000000200"	"512, "	"D, "	
"Microsoft-Windows-Win32k"	"1001"	"1"	"0x0000000000000400"	"1024, "	"A, "	
"Microsoft-Windows-ESE"	"148"	"2"	"0x0000000000000420"	"1024, 32, "	"BFRESMGR, BF, "	"BFRESMGR, BF, "
"Microsoft-Windows-ESE"	"110"	"3"	"0x0000000000000422"	"1024, 32, 2, "	"BFRESMGR, BF, Performance, "	"BFRESMGR, BF, Performance, "
"Microsoft-Windows-Application-Experience"	"16101"	"1"	"0x0000000000000800"	"2048, "	"S, "	
